learning_rate,regularization,hidden_dims,mean_accuracy,mean_f1
0.5,0.01,"[2, 2]",0.8296886446886447,0.8149976774493293
0.5,0.01,"[2, 2, 2]",0.8372161172161172,0.8202805096696693
0.5,0.01,[10],0.8354029304029303,0.8199412682126571
0.5,0.01,"[10, 10]",0.8373260073260074,0.8225581743733148
0.5,0.01,[20],0.8373076923076923,0.8223762055839451
0.5,0.01,[40],0.8392307692307692,0.8268171658089999
0.5,0.01,"[20, 10]",0.8258241758241759,0.8109287493204891
0.5,0.01,"[30, 15]",0.8468498168498169,0.8360972713891222
0.5,0.01,"[40, 20, 10]",0.8353479853479854,0.824632757179927
0.5,0.1,[2],0.8315750915750917,0.8183441386565242
0.5,0.1,"[2, 2]",0.8181501831501832,0.7993360929662978
0.5,0.1,"[2, 2, 2]",0.7046520146520148,0.47686204916749314
0.5,0.1,[10],0.8335347985347985,0.8194681913512435
0.5,0.1,"[10, 10]",0.8315934065934065,0.8158766108973718
0.5,0.1,[20],0.8334981684981685,0.8215693453582806
0.5,0.1,[40],0.8411538461538463,0.8298618128403229
0.5,0.1,"[20, 10]",0.8411355311355312,0.8268323436119529
0.5,0.1,"[30, 15]",0.8411721611721612,0.8286140334279457
